,0,1,2,3,4,5,6,7,8
0,18546.0,273.0,14.0,85.0,0.0,0.0,0.0,0.0,369.0
1,10208.0,169.0,12.0,95.0,0.0,0.0,0.0,0.0,332.0
2,186.0,64.0,26.0,117.0,0.0,0.0,0.0,0.0,29.0
3,0.0,104.0,57.0,42.0,0.0,0.0,0.0,0.0,53.0
4,5.0,123.0,0.0,55.0,0.0,0.0,0.0,0.0,24.0
5,6.0,433.0,0.0,94.0,0.0,0.0,0.0,0.0,206.0
6,9.0,17205.0,78.0,283.0,32.0,0.0,8.0,0.0,1751.0
7,17.0,64600.0,339.0,529.0,92.0,0.0,126.0,28.0,3872.0
8,43.0,89658.0,874.0,1113.0,127.0,1.0,208.0,199.0,4152.0
9,13.0,80961.0,5332.0,10273.0,131.0,6.0,195.0,350.0,4360.0
10,2.0,66403.0,10110.0,20844.0,214.0,1.0,122.0,346.0,3198.0
11,14.0,47457.0,10703.0,27228.0,112.0,0.0,29.0,408.0,3649.0
12,55.0,35576.0,9638.0,23771.0,104.0,0.0,31.0,240.0,3577.0
13,22.0,34432.0,9907.0,16139.0,39.0,1.0,75.0,259.0,2596.0
14,108.0,31968.0,5761.0,23248.0,34.0,0.0,23.0,233.0,2137.0
15,130.0,32847.0,3850.0,24546.0,25.0,0.0,10.0,291.0,2335.0
16,225.0,47217.0,1857.0,24083.0,72.0,7.0,111.0,378.0,2850.0
17,319.0,78931.0,1682.0,25426.0,73.0,10.0,70.0,247.0,4675.0
18,3832.0,92636.0,1796.0,24929.0,147.0,0.0,41.0,205.0,5081.0
19,30631.0,72846.0,1272.0,18322.0,153.0,6.0,85.0,40.0,4936.0
20,34245.0,35363.0,568.0,4673.0,58.0,1.0,4.0,12.0,3678.0
21,25046.0,9975.0,267.0,1382.0,0.0,10.0,0.0,5.0,2296.0
22,23021.0,3432.0,79.0,859.0,0.0,10.0,0.0,16.0,957.0
23,18860.0,936.0,7.0,28.0,0.0,0.0,0.0,0.0,533.0
